exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S4684 NAR,CENTRE WITH 40 CANDIDATES OR MORE,1638/3908,60/115,3.9260,MANYARA,40,47,0,47,0,0,47,0,5,10,25,7
S4685 TIMBOLO BAPTIST,CENTRE WITH LESS THAN 40 CANDIDATES,319/1011,27/46,3.6045,ARUSHA,38,38,0,38,0,0,38,0,6,13,19,0
S4686 BWAKIRA JUU,CENTRE WITH LESS THAN 40 CANDIDATES,1007/1011,58/59,4.7799,MOROGORO,7,29,1,28,0,0,28,0,0,0,7,21
S4691 KIZOMLA,CENTRE WITH 40 CANDIDATES OR MORE,1547/3908,43/129,3.9051,PWANI,42,46,1,45,0,0,45,1,5,4,32,3
S4693 MBALAWALA,CENTRE WITH LESS THAN 40 CANDIDATES,541/1011,26/63,3.9284,DODOMA,13,16,0,16,0,0,16,0,2,3,8,3
S4696 PELAZIA,CENTRE WITH LESS THAN 40 CANDIDATES,132/1011,3/21,3.0868,MARA,36,36,0,36,0,0,36,3,13,9,11,0
S4697 KILINDI,CENTRE WITH 40 CANDIDATES OR MORE,3545/3908,161/215,4.3654,TANGA,47,84,0,84,0,0,84,1,3,6,37,37
S4698 KORIDO,CENTRE WITH 40 CANDIDATES OR MORE,2887/3908,109/137,4.1817,RUVUMA,35,48,1,47,0,0,47,0,5,2,28,12
S4699 MUHUWESI SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,35/1011,2/53,2.3871,RUVUMA,31,31,0,31,0,0,31,8,20,3,0,0
S4700 LOUIS MONTFORT,CENTRE WITH LESS THAN 40 CANDIDATES,133/1011,16/62,3.0885,DAR ES SALAAM,39,39,0,39,0,0,39,3,13,16,7,0
S4701 LIKUNJA,CENTRE WITH 40 CANDIDATES OR MORE,3632/3908,60/61,4.4000,LINDI,35,52,2,50,0,0,50,0,0,3,32,15
S4702 LUGURUNI,CENTRE WITH 40 CANDIDATES OR MORE,3883/3908,236/237,4.6509,DAR ES SALAAM,44,99,2,97,0,0,97,0,0,0,44,53
S4703 MABILIONI,CENTRE WITH 40 CANDIDATES OR MORE,3278/3908,250/276,4.2743,KILIMANJARO,65,101,2,99,0,0,99,1,6,7,51,34
S4704 NAMWINYU,CENTRE WITH 40 CANDIDATES OR MORE,1898/3908,75/137,3.9828,RUVUMA,44,53,2,51,0,0,51,0,7,6,31,7
S4705 FRAY LUIS AMIGO,CENTRE WITH 40 CANDIDATES OR MORE,485/3908,53/237,3.1937,DAR ES SALAAM,40,40,0,40,0,0,40,2,13,12,13,0
S4706 FAMGI,CENTRE WITH 40 CANDIDATES OR MORE,61/3908,7/246,1.9276,MWANZA,41,41,0,41,0,0,41,25,16,0,0,0
S4707 ZANKA,CENTRE WITH LESS THAN 40 CANDIDATES,455/1011,20/63,3.8304,DODOMA,29,32,3,29,0,0,29,0,3,5,21,0
S4708 IKOBE,CENTRE WITH LESS THAN 40 CANDIDATES,677/1011,7/8,4.0495,GEITA,29,36,2,34,0,0,34,0,2,4,23,5
S4709 LA MIRIAM,CENTRE WITH LESS THAN 40 CANDIDATES,26/1011,2/59,2.1924,MOROGORO,32,32,0,32,0,0,32,14,16,2,0,0
S4710 ENDAMANANG',CENTRE WITH LESS THAN 40 CANDIDATES,113/1011,3/36,3.0057,MANYARA,29,29,0,29,0,0,29,2,11,12,4,0
S4711 KIDAHWE,CENTRE WITH 40 CANDIDATES OR MORE,2010/3908,74/137,4.0079,KIGOMA,52,57,1,56,0,0,56,0,4,9,39,4
S4712 KAPUYA,CENTRE WITH 40 CANDIDATES OR MORE,635/3908,14/111,3.4297,TABORA,73,76,1,75,0,0,75,1,22,18,32,2
S4713 ANNA MAGOWA,CENTRE WITH LESS THAN 40 CANDIDATES,926/1011,54/61,4.3682,LINDI,23,33,1,32,0,0,32,0,1,1,21,9
S4714 KIHITU,CENTRE WITH LESS THAN 40 CANDIDATES,920/1011,46/67,4.3589,TANGA,24,31,0,31,0,0,31,0,0,1,23,7
S4715 KETEWAKA,CENTRE WITH LESS THAN 40 CANDIDATES,722/1011,17/21,4.1003,NJOMBE,29,35,0,35,0,0,35,0,1,6,22,6
S4716 ITONGO,CENTRE WITH 40 CANDIDATES OR MORE,2561/3908,150/215,4.1152,KAGERA,71,102,2,100,0,0,100,1,7,13,50,29
S4717 NANGAYA,CENTRE WITH 40 CANDIDATES OR MORE,1084/3908,19/118,3.7694,MTWARA,65,71,1,70,0,0,70,2,8,14,41,5
S4718 RAUDHA ACADEMY,CENTRE WITH 40 CANDIDATES OR MORE,309/3908,10/66,2.8734,MJINI MAGHARIBI,57,57,0,57,0,0,57,0,32,23,2,0
S4719 ST. ALOIS,CENTRE WITH LESS THAN 40 CANDIDATES,82/1011,4/21,2.8350,NJOMBE,33,33,0,33,0,0,33,7,11,11,4,0
S4721 KISHISHA,CENTRE WITH 40 CANDIDATES OR MORE,1635/3908,127/276,3.9246,KILIMANJARO,42,47,0,47,0,0,47,1,4,6,31,5
S4722 KIGONSERA CATECHISTS,CENTRE WITH 40 CANDIDATES OR MORE,1155/3908,48/137,3.7940,RUVUMA,47,49,0,49,0,0,49,0,8,9,30,2
S4723 GRACEMESAKI,CENTRE WITH LESS THAN 40 CANDIDATES,424/1011,14/45,3.7821,SINGIDA,30,34,1,33,0,0,33,0,4,9,17,3
S4724 NGANGWE,CENTRE WITH 40 CANDIDATES OR MORE,1885/3908,86/134,3.9792,IRINGA,78,84,0,84,0,0,84,2,5,10,61,6
S4725 MAKWEMA,CENTRE WITH 40 CANDIDATES OR MORE,938/3908,37/134,3.6986,IRINGA,63,66,0,66,0,0,66,2,11,11,39,3
S4726 BUTOBELA,CENTRE WITH 40 CANDIDATES OR MORE,3702/3908,102/102,4.4358,GEITA,19,44,2,42,0,0,42,0,2,3,14,23
S4727 UTWARI,CENTRE WITH 40 CANDIDATES OR MORE,1986/3908,75/115,4.0024,MANYARA,47,56,0,56,0,0,56,0,5,10,32,9
S4728 KIBOGWA,CENTRE WITH LESS THAN 40 CANDIDATES,1010/1011,59/59,4.7977,MOROGORO,7,29,1,28,0,0,28,0,0,0,7,21
S4729 MUSASA,CENTRE WITH 40 CANDIDATES OR MORE,738/3908,15/102,3.5507,GEITA,84,85,1,84,0,0,84,4,13,20,47,0
S4730 BWEFUM,CENTRE WITH 40 CANDIDATES OR MORE,3119/3908,34/66,4.2379,MJINI MAGHARIBI,38,41,0,41,0,0,41,0,1,1,36,3
S4731 MAUNGANI,CENTRE WITH 40 CANDIDATES OR MORE,3727/3908,50/66,4.4497,MJINI MAGHARIBI,57,81,0,81,0,0,81,0,0,2,55,24
S4732 CHONAMA,CENTRE WITH LESS THAN 40 CANDIDATES,231/1011,2/63,3.4286,DODOMA,21,23,2,21,0,0,21,0,6,5,10,0
S4733 ST MARGARET MARIA ALAKOK GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,187/3908,6/111,2.4855,TABORA,107,107,0,107,0,0,107,20,71,15,1,0
S4734 LAIKALA,CENTRE WITH LESS THAN 40 CANDIDATES,473/1011,21/63,3.8426,DODOMA,23,26,0,26,0,0,26,0,2,8,13,3
S4735 IBWAGA,CENTRE WITH 40 CANDIDATES OR MORE,1353/3908,44/152,3.8483,DODOMA,36,41,1,40,0,0,40,1,3,9,23,4
S4736 NDALIBO,CENTRE WITH 40 CANDIDATES OR MORE,2214/3908,80/152,4.0483,DODOMA,49,56,1,55,0,0,55,0,2,8,39,6
S4737 SETH BENJAMIN,CENTRE WITH LESS THAN 40 CANDIDATES,513/1011,17/45,3.8946,SINGIDA,26,32,2,30,0,0,30,1,2,7,16,4
S4738 NEW KIOMBOI,CENTRE WITH 40 CANDIDATES OR MORE,2237/3908,72/116,4.0531,SINGIDA,90,111,3,108,0,0,108,1,7,12,70,18
S4739 SULLIVAN PROVOST BOYS',CENTRE WITH LESS THAN 40 CANDIDATES,20/1011,3/41,2.0990,PWANI,11,11,0,11,0,0,11,5,6,0,0,0
S4740 ST STEPHEN BOYS',CENTRE WITH 40 CANDIDATES OR MORE,80/3908,10/276,2.0586,KILIMANJARO,110,110,0,110,0,0,110,58,46,6,0,0
S4741 DIPLOMAT,CENTRE WITH 40 CANDIDATES OR MORE,-,-,-,MWANZA,-,52,0,52,52,0,0,0,0,0,0,0
S4742 LUANA,CENTRE WITH 40 CANDIDATES OR MORE,3276/3908,93/95,4.2739,NJOMBE,31,41,0,41,1,0,40,0,2,1,28,9
S4743 LOIBORSIRET,CENTRE WITH LESS THAN 40 CANDIDATES,516/1011,20/36,3.8971,MANYARA,26,30,0,30,0,0,30,0,3,7,16,4
S4744 MAKONDE,CENTRE WITH 40 CANDIDATES OR MORE,2753/3908,86/95,4.1526,NJOMBE,67,81,2,79,0,0,79,0,2,8,57,12
S4745 MAMBOYA,CENTRE WITH LESS THAN 40 CANDIDATES,555/1011,31/59,3.9429,MOROGORO,14,16,0,16,0,0,16,0,1,4,9,2
S4747 CHAMAZI MIFE,CENTRE WITH LESS THAN 40 CANDIDATES,529/1011,38/62,3.9151,DAR ES SALAAM,22,27,0,27,0,0,27,1,2,6,13,5
S4748 KING'S VISION,CENTRE WITH 40 CANDIDATES OR MORE,1160/3908,96/237,3.7953,DAR ES SALAAM,37,46,1,45,0,0,45,1,9,6,21,8
S4749 MBWARA,CENTRE WITH 40 CANDIDATES OR MORE,2450/3908,58/129,4.0932,PWANI,46,49,1,48,0,0,48,0,3,1,42,2
S4750 KIKALE,CENTRE WITH LESS THAN 40 CANDIDATES,774/1011,34/41,4.1550,PWANI,14,14,0,14,0,0,14,0,0,1,13,0
S4751 NARWI,CENTRE WITH 40 CANDIDATES OR MORE,1738/3908,71/137,3.9461,RUVUMA,41,53,1,52,0,0,52,0,8,8,25,11
S4752 CHANYANGABWA,CENTRE WITH 40 CANDIDATES OR MORE,1444/3908,88/215,3.8765,KAGERA,44,50,1,49,0,0,49,1,4,8,31,5
S4753 KITWECHENKURA,CENTRE WITH 40 CANDIDATES OR MORE,2241/3908,128/215,4.0535,KAGERA,64,82,0,82,0,0,82,1,5,11,47,18
S4754 NGORONGO,CENTRE WITH LESS THAN 40 CANDIDATES,688/1011,31/41,4.0628,PWANI,32,36,2,34,0,0,34,0,3,2,27,2
S4756 NYAMISATI,CENTRE WITH 40 CANDIDATES OR MORE,3449/3908,105/129,4.3311,PWANI,41,54,0,54,0,0,54,0,1,4,36,13
S4757 RUKURAIJO,CENTRE WITH 40 CANDIDATES OR MORE,2368/3908,140/215,4.0759,KAGERA,62,76,2,74,0,0,74,0,7,5,50,12
S4758 UNAMBWE,CENTRE WITH 40 CANDIDATES OR MORE,-,-,-,ARUSHA,-,101,1,100,100,0,0,0,0,0,0,0
S4759 HEBRON,CENTRE WITH 40 CANDIDATES OR MORE,646/3908,39/178,3.4457,ARUSHA,59,59,0,59,0,0,59,3,11,18,27,0
S4760 MSISI JUU,CENTRE WITH LESS THAN 40 CANDIDATES,611/1011,34/63,3.9891,DODOMA,31,36,5,31,0,0,31,0,1,4,26,0
S4761 RIFT VALLEY BABATI,CENTRE WITH LESS THAN 40 CANDIDATES,224/1011,7/36,3.4161,MANYARA,32,33,1,32,0,0,32,2,6,10,14,0
S4762 LIKOKONA,CENTRE WITH 40 CANDIDATES OR MORE,1348/3908,24/118,3.8473,MTWARA,39,40,0,40,0,0,40,0,4,9,26,1
S4763 LUMESULE,CENTRE WITH 40 CANDIDATES OR MORE,3420/3908,98/118,4.3203,MTWARA,25,45,0,45,0,0,45,0,3,4,18,20
S4764 KABWOBA,CENTRE WITH 40 CANDIDATES OR MORE,821/3908,52/215,3.6197,KAGERA,50,51,0,51,0,0,51,1,8,14,27,1
S4765 MAMNDIMKONGO,CENTRE WITH 40 CANDIDATES OR MORE,3497/3908,113/129,4.3479,PWANI,56,86,2,84,0,0,84,0,2,5,49,28
S4766 ST.PETER'S,CENTRE WITH LESS THAN 40 CANDIDATES,199/1011,9/65,3.3402,TABORA,37,38,1,37,0,0,37,2,7,14,14,0
S4767 WAWETU ELISHADDAI,CENTRE WITH LESS THAN 40 CANDIDATES,321/1011,23/41,3.6101,PWANI,34,37,0,37,0,0,37,1,4,15,14,3
S4768 KISIJU PWANI,CENTRE WITH 40 CANDIDATES OR MORE,2244/3908,52/129,4.0536,PWANI,40,50,1,49,0,0,49,0,6,6,28,9
S4769 ST. CECILIA,CENTRE WITH LESS THAN 40 CANDIDATES,125/1011,8/30,3.0498,KAGERA,24,24,0,24,0,0,24,0,9,12,3,0
S4770 DUNDANI,CENTRE WITH 40 CANDIDATES OR MORE,3042/3908,81/129,4.2208,PWANI,65,86,1,85,0,0,85,0,1,14,50,20
S4771 APEX,CENTRE WITH 40 CANDIDATES OR MORE,366/3908,24/215,2.9778,KAGERA,79,81,2,79,0,0,79,4,29,39,7,0
S4772 LWANDE,CENTRE WITH LESS THAN 40 CANDIDATES,943/1011,52/67,4.4148,TANGA,10,15,0,15,0,0,15,0,0,1,9,5
S4773 MASAGALU,CENTRE WITH LESS THAN 40 CANDIDATES,940/1011,51/67,4.4024,TANGA,16,35,4,31,0,0,31,0,2,2,12,15
S4774 BERNARD MEMBE,CENTRE WITH LESS THAN 40 CANDIDATES,798/1011,33/67,4.1858,TANGA,23,30,0,30,0,0,30,0,1,5,17,7
S4775 PRINCE CLAUS,CENTRE WITH LESS THAN 40 CANDIDATES,919/1011,45/67,4.3583,TANGA,28,36,1,35,0,0,35,0,0,1,27,7
S4776 LUNGUZA,CENTRE WITH 40 CANDIDATES OR MORE,1672/3908,37/215,3.9319,TANGA,56,60,0,60,0,0,60,0,6,11,39,4
S4777 NDURUMO,CENTRE WITH LESS THAN 40 CANDIDATES,901/1011,42/67,4.3288,TANGA,19,25,0,25,0,0,25,0,0,2,17,6
S4778 KIZIMBA,CENTRE WITH 40 CANDIDATES OR MORE,2581/3908,75/215,4.1176,TANGA,38,52,1,51,0,0,51,1,4,6,27,13
S4779 ILINDI,CENTRE WITH LESS THAN 40 CANDIDATES,747/1011,43/63,4.1325,DODOMA,14,16,2,14,0,0,14,0,0,1,13,0
S4780 HAWA MCHOPA,CENTRE WITH 40 CANDIDATES OR MORE,2741/3908,44/61,4.1494,LINDI,59,69,1,68,0,0,68,0,3,4,52,9
S4781 MKUWANI,CENTRE WITH 40 CANDIDATES OR MORE,2916/3908,112/137,4.1916,RUVUMA,38,51,2,49,0,0,49,0,1,7,30,11
S4782 KANDAGA,CENTRE WITH 40 CANDIDATES OR MORE,2626/3908,95/137,4.1274,KIGOMA,30,42,4,38,0,0,38,0,1,7,22,8
S4783 MAGAGA,CENTRE WITH LESS THAN 40 CANDIDATES,558/1011,28/63,3.9473,DODOMA,17,20,0,20,0,0,20,1,2,2,12,3
S4785 KIRANDO,CENTRE WITH 40 CANDIDATES OR MORE,3540/3908,68/70,4.3637,RUKWA,86,154,2,152,0,0,152,0,5,14,67,66
S4786 NKANGAMO,CENTRE WITH LESS THAN 40 CANDIDATES,636/1011,15/22,4.0139,SONGWE,30,36,2,34,0,0,34,0,3,5,22,4
S4787 OASIS,CENTRE WITH LESS THAN 40 CANDIDATES,198/1011,2/19,3.3389,SHINYANGA,11,11,0,11,0,0,11,0,4,2,5,0
S4788 SINDENI,CENTRE WITH 40 CANDIDATES OR MORE,3325/3908,133/215,4.2866,TANGA,46,62,3,59,0,0,59,0,1,4,41,13
S4789 KIVA,CENTRE WITH 40 CANDIDATES OR MORE,3056/3908,106/215,4.2237,TANGA,52,64,2,62,0,0,62,0,1,4,47,10
S4790 KANG'ATA,CENTRE WITH LESS THAN 40 CANDIDATES,569/1011,18/67,3.9542,TANGA,29,35,2,33,0,0,33,0,1,9,19,4
S4791 MSAJE,CENTRE WITH 40 CANDIDATES OR MORE,3852/3908,209/215,4.5687,TANGA,28,57,0,57,0,0,57,0,0,1,27,29
S4792 KONJE,CENTRE WITH 40 CANDIDATES OR MORE,2734/3908,80/215,4.1476,TANGA,35,40,0,40,0,0,40,1,1,3,30,5
S4793 KOMSANGA,CENTRE WITH LESS THAN 40 CANDIDATES,773/1011,30/67,4.1549,TANGA,28,32,0,32,0,0,32,0,0,3,25,4
S4794 MWANKULWE,CENTRE WITH 40 CANDIDATES OR MORE,2583/3908,181/246,4.1179,MWANZA,43,58,0,58,0,0,58,1,5,4,33,15
S4795 LYANIKA,CENTRE WITH LESS THAN 40 CANDIDATES,55/1011,3/29,2.5803,IRINGA,33,33,0,33,0,0,33,4,24,4,1,0
S4796 ST. CLARE BIHARAMULO GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,189/3908,13/215,2.4860,KAGERA,64,64,0,64,0,0,64,10,49,5,0,0
S4798 SHISYETE,CENTRE WITH 40 CANDIDATES OR MORE,3098/3908,167/187,4.2326,MBEYA,46,61,1,60,0,0,60,1,0,5,40,14
S4799 MTWARA ISLAMIC,CENTRE WITH 40 CANDIDATES OR MORE,745/3908,10/118,3.5556,MTWARA,169,176,2,174,0,0,174,6,39,34,90,5
S4800 PANGAMBILI,CENTRE WITH 40 CANDIDATES OR MORE,1819/3908,42/215,3.9637,TANGA,37,44,0,44,0,0,44,0,4,9,24,7
S4801 SONGAMBELE,CENTRE WITH 40 CANDIDATES OR MORE,2326/3908,136/215,4.0673,KAGERA,46,56,1,55,0,0,55,0,1,11,34,9
S4802 CHITWE,CENTRE WITH 40 CANDIDATES OR MORE,3801/3908,212/215,4.5065,KAGERA,34,61,0,61,0,0,61,0,1,2,31,27
S4803 NDYUDA,CENTRE WITH 40 CANDIDATES OR MORE,1062/3908,23/86,3.7609,SONGWE,166,207,15,192,2,0,190,0,28,55,83,24
S4804 UNBERKANT,CENTRE WITH 40 CANDIDATES OR MORE,1866/3908,74/137,3.9749,RUVUMA,47,57,3,54,0,0,54,0,6,5,36,7
S4805 NTAMBWE,CENTRE WITH 40 CANDIDATES OR MORE,2768/3908,83/215,4.1561,TANGA,49,64,1,63,0,0,63,1,1,9,38,14
S4806 UBAGO,CENTRE WITH LESS THAN 40 CANDIDATES,890/1011,5/8,4.3043,KUSINI UNGUJA,24,38,1,37,0,0,37,0,2,4,18,13
S4807 NACHINGWEA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,685/3908,6/61,3.4858,LINDI,71,74,2,72,0,0,72,1,15,26,29,1
S4808 EMBEKO,CENTRE WITH 40 CANDIDATES OR MORE,824/3908,19/152,3.6232,DODOMA,59,63,0,63,0,0,63,2,15,13,29,4
S4810 MAGABA,CENTRE WITH 40 CANDIDATES OR MORE,321/3908,14/137,2.8976,KIGOMA,58,58,0,58,0,0,58,5,28,17,8,0
S4811 BIDII,CENTRE WITH 40 CANDIDATES OR MORE,328/3908,27/246,2.9058,MWANZA,183,186,2,184,1,0,183,24,72,54,33,0
S4812 KINGUGI,CENTRE WITH 40 CANDIDATES OR MORE,3388/3908,185/237,4.3082,DAR ES SALAAM,220,355,4,351,0,0,351,0,21,29,170,131
S4813 MBEMBALEO,CENTRE WITH 40 CANDIDATES OR MORE,2082/3908,42/118,4.0216,MTWARA,54,59,0,59,0,0,59,0,2,10,42,5
S4814 MAWANDA,CENTRE WITH LESS THAN 40 CANDIDATES,651/1011,34/41,4.0202,KILIMANJARO,35,38,1,37,0,0,37,1,2,5,27,2
S4815 LAKE NATRON,CENTRE WITH 40 CANDIDATES OR MORE,2619/3908,150/178,4.1252,ARUSHA,81,113,2,111,0,0,111,0,9,19,53,30
S4816 NAINOKANOKA,CENTRE WITH 40 CANDIDATES OR MORE,1682/3908,105/178,3.9339,ARUSHA,150,181,4,177,0,1,176,2,14,33,101,26
S4817 ARASH,CENTRE WITH 40 CANDIDATES OR MORE,785/3908,47/178,3.5948,ARUSHA,65,68,0,68,0,0,68,1,14,16,34,3
S4819 KENYAMANYORI,CENTRE WITH 40 CANDIDATES OR MORE,3212/3908,132/177,4.2587,MARA,51,71,1,70,0,0,70,1,4,2,44,19
S4820 GIBASO,CENTRE WITH LESS THAN 40 CANDIDATES,659/1011,12/21,4.0269,MARA,33,36,0,36,0,0,36,0,1,6,26,3
S4822 SUNYA,CENTRE WITH 40 CANDIDATES OR MORE,3514/3908,114/115,4.3553,MANYARA,25,42,2,40,0,0,40,0,2,0,23,15
S4823 KIPERESA,CENTRE WITH 40 CANDIDATES OR MORE,2558/3908,95/115,4.1143,MANYARA,31,41,2,39,0,0,39,0,2,6,23,8
S4824 NJORO,CENTRE WITH 40 CANDIDATES OR MORE,1368/3908,47/115,3.8524,MANYARA,83,87,2,85,0,0,85,1,10,10,62,2
S4825 LESOIT,CENTRE WITH 40 CANDIDATES OR MORE,1398/3908,50/115,3.8628,MANYARA,65,70,1,69,0,0,69,0,8,8,49,4
S4826 ORKINE,CENTRE WITH LESS THAN 40 CANDIDATES,893/1011,33/36,4.3153,MANYARA,16,34,3,31,0,0,31,0,4,2,10,15
S4827 ST. PETER CLAVER HIGH SCHOOL,CENTRE WITH 40 CANDIDATES OR MORE,158/3908,5/152,2.3981,DODOMA,199,200,0,200,0,0,200,62,95,35,7,1
S4828 GILGAL,CENTRE WITH LESS THAN 40 CANDIDATES,107/1011,6/21,2.9710,NJOMBE,31,31,0,31,0,0,31,5,7,13,6,0
S4829 GEITA ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,2098/3908,64/102,4.0258,GEITA,55,64,2,62,0,0,62,0,4,9,42,7
S4830 WEST SERENGETI,CENTRE WITH LESS THAN 40 CANDIDATES,69/1011,2/50,2.6752,SIMIYU,8,9,1,8,0,0,8,0,7,1,0,0
S4834 MUTUKULA,CENTRE WITH 40 CANDIDATES OR MORE,2287/3908,131/215,4.0613,KAGERA,58,68,0,68,0,0,68,1,3,8,46,10
S4835 MABALE,CENTRE WITH 40 CANDIDATES OR MORE,3769/3908,211/215,4.4769,KAGERA,37,84,3,81,0,0,81,0,3,5,29,44
S4837 NKANGA,CENTRE WITH 40 CANDIDATES OR MORE,2120/3908,45/86,4.0309,SONGWE,49,61,0,61,0,0,61,1,3,11,34,12
S4838 NAMOLE,CENTRE WITH LESS THAN 40 CANDIDATES,759/1011,18/22,4.1453,SONGWE,12,15,2,13,0,0,13,0,1,0,11,1
S4839 LUMBILA,CENTRE WITH 40 CANDIDATES OR MORE,3353/3908,74/86,4.2948,SONGWE,22,42,0,42,0,0,42,0,4,3,15,20
S4841 CHANJI,CENTRE WITH 40 CANDIDATES OR MORE,2319/3908,50/70,4.0657,RUKWA,152,209,5,204,0,0,204,3,18,27,104,52
S4842 NANGOO,CENTRE WITH 40 CANDIDATES OR MORE,1817/3908,29/118,3.9632,MTWARA,39,50,1,49,0,0,49,2,4,6,27,10
S4844 AKILIMALI,CENTRE WITH LESS THAN 40 CANDIDATES,500/1011,18/53,3.8813,RUVUMA,24,30,2,28,0,0,28,0,3,5,16,4
S4845 KINGO,CENTRE WITH 40 CANDIDATES OR MORE,2980/3908,119/176,4.2076,MOROGORO,74,105,1,104,0,0,104,1,4,15,54,30
S4846 MTETEMELA,CENTRE WITH LESS THAN 40 CANDIDATES,951/1011,36/36,4.4359,MANYARA,4,6,0,6,0,0,6,0,0,0,4,2
S4847 PEACE LAND,CENTRE WITH 40 CANDIDATES OR MORE,693/3908,71/237,3.4961,DAR ES SALAAM,40,40,0,40,0,0,40,1,10,8,21,0
S4848 AFRICAN RAINBOW,CENTRE WITH 40 CANDIDATES OR MORE,1249/3908,23/70,3.8197,RUKWA,46,51,1,50,3,0,47,1,3,10,32,1
S4849 AUREKE,CENTRE WITH LESS THAN 40 CANDIDATES,538/1011,39/62,3.9248,DAR ES SALAAM,8,10,1,9,0,0,9,0,1,2,5,1
S4850 KIDODOMA,CENTRE WITH 40 CANDIDATES OR MORE,3680/3908,131/137,4.4208,RUVUMA,26,42,1,41,0,0,41,0,1,1,24,15
S4851 NAMPUNGU,CENTRE WITH LESS THAN 40 CANDIDATES,763/1011,40/53,4.1486,RUVUMA,11,14,0,14,0,0,14,0,0,3,8,3
S4852 MTANGA DELTA,CENTRE WITH LESS THAN 40 CANDIDATES,918/1011,40/41,4.3558,PWANI,19,24,0,24,0,0,24,0,0,2,17,5
S4853 LIGOMA,CENTRE WITH 40 CANDIDATES OR MORE,3418/3908,122/137,4.3197,RUVUMA,63,109,6,103,0,0,103,0,10,4,49,40
S4854 GEITA ADVENTIST,CENTRE WITH 40 CANDIDATES OR MORE,91/3908,3/102,2.1114,GEITA,115,115,0,115,0,0,115,55,51,9,0,0
S4855 MIANDI,CENTRE WITH 40 CANDIDATES OR MORE,2904/3908,93/116,4.1885,SINGIDA,45,69,2,67,0,0,67,1,2,10,32,22
S4856 TWIHULUMILE,CENTRE WITH 40 CANDIDATES OR MORE,564/3908,42/246,3.3298,MWANZA,71,72,1,71,0,0,71,2,20,21,28,0
S4857 KITULO,CENTRE WITH LESS THAN 40 CANDIDATES,587/1011,15/21,3.9710,NJOMBE,13,15,0,15,0,0,15,0,1,4,8,2
S4858 SHITAGE,CENTRE WITH 40 CANDIDATES OR MORE,2223/3908,83/111,4.0498,TABORA,38,50,1,49,0,0,49,1,3,5,29,11
S4859 IBUGULE,CENTRE WITH 40 CANDIDATES OR MORE,1843/3908,62/152,3.9704,DODOMA,41,46,1,45,0,0,45,0,3,7,31,4
S4860 ST.THOMAS NYABULA,CENTRE WITH 40 CANDIDATES OR MORE,352/3908,14/134,2.9551,IRINGA,69,69,0,69,0,0,69,5,25,33,6,0
S4861 EMBOREET,CENTRE WITH 40 CANDIDATES OR MORE,1339/3908,45/115,3.8458,MANYARA,60,66,0,66,0,0,66,0,5,17,38,6
S4862 GOMBE HIGH SCHOOL,CENTRE WITH 40 CANDIDATES OR MORE,651/3908,32/137,3.4472,KIGOMA,48,48,0,48,0,0,48,0,8,22,18,0
S4863 PARENI,CENTRE WITH 40 CANDIDATES OR MORE,3820/3908,275/276,4.5265,KILIMANJARO,43,82,1,81,0,0,81,0,0,4,39,38
S4864 NGOGO,CENTRE WITH LESS THAN 40 CANDIDATES,399/1011,11/21,3.7483,NJOMBE,15,17,0,17,0,0,17,1,3,0,11,2
S4865 HANDU,CENTRE WITH 40 CANDIDATES OR MORE,2231/3908,71/116,4.0512,SINGIDA,39,54,1,53,0,0,53,1,5,7,26,14
S4866 UNDOMO,CENTRE WITH LESS THAN 40 CANDIDATES,137/1011,4/65,3.1132,TABORA,33,35,2,33,0,0,33,3,10,12,8,0
S4867 KITUNGWA,CENTRE WITH 40 CANDIDATES OR MORE,136/3908,7/176,2.3203,MOROGORO,76,78,0,78,2,0,76,24,45,7,0,0
S4868 BALENI,CENTRE WITH 40 CANDIDATES OR MORE,3822/3908,127/129,4.5296,PWANI,44,89,1,88,0,0,88,0,1,4,39,44
S4869 MICHENI,CENTRE WITH 40 CANDIDATES OR MORE,2664/3908,67/129,4.1349,PWANI,36,43,0,43,0,0,43,0,2,5,29,7
S4870 LUKALA,CENTRE WITH LESS THAN 40 CANDIDATES,361/1011,13/53,3.6763,RUVUMA,32,36,0,36,0,0,36,1,6,9,16,4
S4871 SUNLIGHT,CENTRE WITH LESS THAN 40 CANDIDATES,44/1011,3/30,2.4666,KAGERA,20,20,0,20,0,0,20,6,10,3,1,0
S4875 HAYATUL,CENTRE WITH 40 CANDIDATES OR MORE,616/3908,13/115,3.4026,MANYARA,124,126,2,124,0,0,124,1,29,50,44,0
S4877 KASSINGA,CENTRE WITH LESS THAN 40 CANDIDATES,463/1011,27/41,3.8353,PWANI,10,10,0,10,0,0,10,0,1,2,7,0
